no.,Usage_Type,machine_type,duration,checklist_no,english_name,Machine_Group,Status,Quantity,Level,Air_Consumption
89,เครื่องจักรผลิต,เครื่องเจาะไม้กลึง,2 สัปดาห์,115,Woodturning Drilling Machine,WTD,,1,3,
90,เครื่องจักรผลิต,เครื่องอัดทีนัทแบบตัวเอฟ,2 สัปดาห์,116,F-Type T-Nut Press Machine,FTP,,1,3,
91,เครื่องจักรผลิต,เครื่องขัดโปรไฟล์,2 สัปดาห์,117,Profile Sanding Machine,PSF,,1,3,
92,เครื่องจักรผลิต,เครื่องเขย่าสี,2 สัปดาห์,118,Paint Shaker / Paint Mixer,PSK,,1,3,
93,เครื่องจักรผลิต,เครื่องกลึง CNC 3 Axis,2 สัปดาห์,119,CNC 3 Axis Lathe Machine,C3L,,1,3,
94,เครื่องจักรโรงงาน,ตู้ควบคุมไฟฟ้า,1 เดือน,120,Electrical Control Cabinet,ECC,,47,1,
95,เครื่องจักรผลิต,เครื่องอัดรีเวทนัท,2 สัปดาห์,121,Rivet Nut Press Machine,RNP,,1,1,
96,เครื่องจักรโรงงาน,ห้องควบคุมความชื้นไม้,2 สัปดาห์,122,Wood Humidity Control Room,WHC,,1,1,
97,เครื่องจักรโรงงาน,เครื่องสูบน้ำพญานาค,2 สัปดาห์,123,Naga Water Pump / Helical Rotor Pump,NWP,,1,4,
98,เครื่องจักรผลิต,เครื่องตัดฟองน้ำ,2 สัปดาห์,124,Foam Cutting Machine,FCM,,1,4,
99,Calibrate,CNC 6 Axis Calibrate,1 เดือน,CLB6X,CNC 6 Axis Calibration,C6C,,1,,
100,Calibrate,CNC 9 Axis Calibrate,1 เดือน,CLB9X,CNC 9 Axis Calibration,C9C,,1,,
101,Calibrate,Robot Calibrate,1 เดือน,CLBRB,Robot Calibration,RBC,,1,,
102,เครื่องจักรผลิต,เครื่องปั่นกาว,2 สัปดาห์,125,Glue Mixer,GMX,,3,3,
103,เครื่องจักรโรงงาน,เครื่องดูดน้ำมัน,2 สัปดาห์,126,Oil Suction Pump / Oil Extractor,OSP,,1,2,
104,เครื่องจักรผลิต,เครื่องกลึงขาแมว,2 สัปดาห์,127,Cat Leg Turning Machine,CLT,,1,3,
105,เครื่องจักรผลิต,เครื่องตอกหัวไม้,2 สัปดาห์,128,Angle Drilling Machine,ADM,,0,3,
106,เครื่องจักรผลิต,เครื่องกดฟองน้ำ,2 สัปดาห์,129,Foam Press Machine,FPM,,1,3,
107,เครื่องจักรผลิต,เครื่องปั๊มตราประทับร้อน,2 สัปดาห์,130,Hot Stamping Machine,HSM,,1,2,
108,เครื่องจักรผลิต,เครื่องไฮฟรีเควนซี่,2 สัปดาห์,131,High-Frequency Machine,HFM,,1,1,
109,เครื่องจักรโรงงาน,เกจวัดแรงดันลม,1 สัปดาห์,PG,Air Pressure Gauge,APG,,2,,
110,โรงงาน,แทงค์น้ำบาดาล,1 เดือน,132,,,1,1,
111,เครื่องจักรผลิต,CNC 7 Axis,2 สัปดาห์,133,CNC 7 Axis,C7A,,2,1,
